fold,mean_test_roc_auc,n_assays
0,0.5801577466409558,29
1,0.5837471897234728,29
2,0.5736014591854773,29
3,0.5812108057116304,29
4,0.5895237139314952,29
5,0.5739726227927027,29
MEAN,0.5803689229976223,29
STD,0.00604462517997298,29
