fold,mean_test_roc_auc,n_assays
0,0.5921235446569607,29
1,0.5966898085877019,29
2,0.5872491112701611,29
3,0.5990686502055935,29
4,0.5998754856390032,29
5,0.5839906932866396,29
MEAN,0.5931662156076766,29
STD,0.006520095740726327,29
