fold,mean_test_roc_auc,n_assays
0,0.5857718733123385,29
1,0.5873891472835397,29
2,0.5797405078504355,29
3,0.5916966135336397,29
4,0.6010592684941658,29
5,0.5870372604571628,29
MEAN,0.5887824451552137,29
STD,0.007141706942570965,29
