fold,mean_test_roc_auc,n_assays
0,0.5906362511103945,29
1,0.5876420570578474,29
2,0.5803859661639339,29
3,0.5903505185154788,29
4,0.5932415086351495,29
5,0.5918919209937377,29
MEAN,0.5890247037460903,29
STD,0.004623780851329241,29
