fold,mean_test_roc_auc,n_assays
0,0.632951573585691,29
1,0.6511308028008428,29
2,0.6461271270393388,29
3,0.6860670573733705,29
4,0.6869681214953773,29
5,0.6703005776013499,29
MEAN,0.6622575433159951,29
STD,0.02229363397791558,29
