,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_19,0.8198970840480275,0.8956521739130435,0.8816568047337279,0.8102564102564103,0.8059999999999999,0.8392857142857143,0.8421246978728205,0.03808066795699794
assay_25,0.7896216216216216,0.811704834605598,0.7698277952946884,0.7904216995126087,0.8428059395801332,0.8549540347293157,0.8098893208906609,0.03320337952140794
assay_24,0.7758620689655172,0.75,0.8193548387096774,0.7635869565217391,0.72,1.0,0.8048006440328224,0.10103947954406095
assay_22,0.7508802816901408,0.783068783068783,0.7826492537313432,0.8568111455108359,0.8345388788426762,0.8034188034188035,0.8018945243770971,0.03849949224802199
assay_20,0.7079918032786885,0.80272952853598,0.7872664887533359,0.8180032733224222,0.7950404858299595,0.7639296187683284,0.779160199748119,0.03918955035388445
assay_2,0.7214452214452214,0.7213592233009709,0.861328125,0.8876404494382022,0.790148448043185,0.680232558139535,0.7770256708945191,0.08375152142622673
assay_26,0.775,0.6683673469387755,0.7518159806295399,0.7761904761904762,0.8402777777777778,0.7678571428571428,0.7632514540656187,0.05548599350636163
assay_23,0.7379679144385026,0.7361788617886179,0.7991967871485943,0.7435587761674719,0.6646825396825398,0.815625,0.7495349798709543,0.05363211793752144
assay_28,0.6128458498023716,0.6374348279457769,0.7653614457831326,0.723951048951049,0.765993265993266,0.7822085889570551,0.7146325045721085,0.07236673283493403
assay_18,0.7123116883116883,0.7265898722052782,0.7138178796617626,0.7103760337026057,0.7163526862766699,0.6948302018905358,0.71237972700809,0.010312964296540028
assay_17,0.606418918918919,0.6697819314641744,0.6403508771929824,0.7945906432748538,0.8051575931232092,0.7392426850258176,0.7092571081666593,0.08277668930198112
assay_8,0.6784257942152679,0.6921603300913646,0.6799867021276595,0.6996718237224566,0.657890499194847,0.7051841085271318,0.6855532096464545,0.017177736178431675
assay_7,0.6978902953586498,0.6186046511627907,0.584,0.6980042016806722,0.7992403689636463,0.6309523809523809,0.6714486496863566,0.07722018360082761
assay_10,0.6017543859649124,0.6347057198121028,0.7065145502645502,0.7335897435897437,0.5706488781079442,0.7455242966751918,0.6654562624024075,0.07311745266514354
assay_0,0.6977777777777778,0.5480225988700564,0.593681917211329,0.7738095238095238,0.5740905057675244,0.6414634146341464,0.6381409563450596,0.08505755008394358
assay_11,0.7048611111111112,0.6151515151515152,0.4991438356164384,0.7475961538461539,0.5668449197860963,0.625,0.6264329225852191,0.09023754709077389
assay_9,0.5888997078870496,0.6031256029326645,0.6473416289592759,0.7095616508587541,0.5736714975845411,0.6201298701298702,0.623788326392026,0.049154991457193306
assay_4,0.6692307692307693,0.6469135802469136,0.6590909090909091,0.608,0.580952380952381,0.5666666666666667,0.6218090510312733,0.04282437067428768
assay_3,0.3822222222222222,0.6396011396011396,0.5359848484848485,0.4913419913419913,0.8670360110803325,0.725,0.6068643687884224,0.17409791904619795
assay_15,0.6637500000000001,0.4930875576036866,0.5783333333333334,0.6842447916666666,0.6166666666666667,0.553030303030303,0.5981854420501094,0.07144947402805904
assay_12,0.5128271349862259,0.6477911646586345,0.488533557752998,0.6112869513287549,0.640792169360346,0.6197270471464019,0.5868263375388936,0.06847941589418652
assay_14,0.5900591121585597,0.5740838063205101,0.5840321110970137,0.5986809045226131,0.5625930983118173,0.6079436258808455,0.5862321097152265,0.016445257696298694
assay_6,0.4929824561403508,0.5895999999999999,0.4777777777777777,0.5477272727272727,0.7121212121212122,0.638888888888889,0.5765162679425837,0.08944967543115429
assay_16,0.5258874458874458,0.4769547325102881,0.5988475177304965,0.4556946639115109,0.6524216524216524,0.6976993044408775,0.5679175528170453,0.09754552782681492
assay_13,0.4567901234567901,0.76875,0.5499999999999999,0.5328719723183392,0.6865079365079365,0.3703703703703703,0.5608817337755726,0.14630362996742244
assay_21,0.5718749999999999,0.4838963079340141,0.4084507042253521,0.6528162511542013,0.5535714285714286,0.6666666666666667,0.5562127264252772,0.09884116223598056
assay_5,0.5112781954887218,0.5170068027210883,0.6035502958579881,0.5616698292220115,0.631578947368421,0.3888888888888889,0.5356621599245199,0.08598862848174744
assay_1,0.5334736842105262,0.5885416666666667,0.3901032179720704,0.5865614538498326,0.5395555555555556,0.4939965694682676,0.5220386912871532,0.07377907824713378
assay_27,0.4653679653679654,0.5419287211740041,0.5796875,0.5274285714285714,0.55489417989418,0.4,0.5115511563107868,0.06674221360197949
