fold,mean_test_roc_auc,n_assays
0,0.6402957123128962,29
1,0.6606307634753239,29
2,0.6552628402275434,29
3,0.6840553966083489,29
4,0.6699828737021815,29
5,0.6727908855031709,29
MEAN,0.6638364119715775,29
STD,0.01526247544094768,29
