fold,mean_test_roc_auc,n_assays
0,0.5830390697211785,29
1,0.5748533285137446,29
2,0.568774254253465,29
3,0.5830598179039169,29
4,0.5872824150740524,29
5,0.5803238615963883,29
MEAN,0.579555457843791,29
STD,0.006679173221306927,29
