,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_23,0.6874335183513929,0.6482516605725549,0.7297900707296681,0.6984250473307713,0.719880932529072,0.7568312757201647,0.7067687508722708,0.037618839249752234
assay_20,0.6504571803257586,0.696043402461027,0.7017322231792517,0.735380645874473,0.7033329011094505,0.7084973459772173,0.6992406164878631,0.0275854653161707
assay_26,0.7858988556662976,0.6078947592635193,0.6387257657098927,0.7127137489456331,0.6497489515033374,0.6145175275610059,0.6682499347749477,0.06864718653305887
assay_19,0.6734524122230977,0.8220177421090663,0.6717743887678528,0.6074678570598219,0.6406701647795268,0.5715627308219902,0.6644908826268926,0.08649018831542359
assay_22,0.5978213739495136,0.6402361356065059,0.6425738870183315,0.6500606506312314,0.6656241426611798,0.695836359235052,0.6486920915169692,0.03227356444878174
assay_2,0.6097938370195098,0.5819450642074471,0.7494262424817979,0.6605868016124425,0.7117212474032708,0.5346471385118728,0.6413533885393902,0.08113307535867606
assay_25,0.638518879503285,0.6149746525913997,0.6338083954269852,0.6241315655328394,0.6397221006661273,0.6832757508752533,0.6390718907659817,0.023606373850421008
assay_24,0.5965637860082305,0.6086588212644093,0.5996651172089768,0.6112693890471669,0.5970888584057308,0.8171663727219282,0.6384020574427404,0.08778985604252289
assay_17,0.5383181386514719,0.6055762103722588,0.5390655729384746,0.6779231652226474,0.7126432281471041,0.6232396728059677,0.6161276646896541,0.07111784593285231
assay_7,0.6235216308745721,0.575502499744924,0.5466282809420064,0.5727207241378737,0.6401177102627633,0.5679359459428188,0.5877377986508264,0.03600405163938433
assay_0,0.6182969294080405,0.5147356758467869,0.5666853722409277,0.6112469912260268,0.5983747950122219,0.5923591916958417,0.5836164925716409,0.03818808500643491
assay_28,0.564552610390711,0.6087902929626805,0.5254456383615488,0.5925639483257426,0.5841660779145494,0.616434442497655,0.5819921684088146,0.03323415827554397
assay_18,0.5996262807632565,0.55135925517185,0.5828981315973845,0.5594833507294035,0.5713823531837338,0.6047317012658501,0.578246845451913,0.021458307500332292
assay_3,0.4576936717839591,0.5673758865248226,0.5788432704884039,0.5086238198983297,0.623045267489712,0.6926317852243778,0.5713689502349343,0.08283229714018818
assay_8,0.5818631147849255,0.5498942488772998,0.5720919681952545,0.585813264924376,0.5423373507212974,0.540704167155245,0.5621173524430664,0.020248760906534873
assay_13,0.5834200485605272,0.6376363100501031,0.4518518518518519,0.5117483074472322,0.6277701096541676,0.5291593180482069,0.5569309909353481,0.07223235510601862
assay_10,0.5445251546946462,0.5178025747570112,0.5414711934156379,0.6049302268015718,0.5373031351778556,0.5934539921468026,0.5565810461655876,0.034485699295869324
assay_16,0.5389875316937348,0.5389597203014393,0.5188478188478189,0.5247003804902624,0.5605279015215099,0.5683964797841118,0.5417366387731463,0.019458981053466117
assay_15,0.5927785691674581,0.5275607931163487,0.5519737844840725,0.5569572429952547,0.4953839153489494,0.5241545893719807,0.5414681490806774,0.033466311757799856
assay_21,0.5851402222317887,0.5454294720252167,0.5506493506493506,0.52950981924259,0.4837071392828602,0.543523086158745,0.539659848265092,0.03307922452467265
assay_9,0.5422242308643636,0.5193676922071984,0.524495565624879,0.5641512901613912,0.5120721879286694,0.5579153218376456,0.5367043814373579,0.021401245117620742
assay_4,0.5788290624891932,0.5308199477853003,0.5344827586206897,0.5416798564946712,0.5566137566137566,0.4728395061728395,0.5358774813627417,0.03552410224953335
assay_12,0.5027881121167811,0.5626360950435024,0.5080800355792162,0.5582491582491582,0.525883979643057,0.5420763382279585,0.5332856198099455,0.025227402193700368
assay_6,0.6245697957121656,0.5323999522872309,0.475979602791197,0.4940728456483017,0.6584549195660306,0.4104938271604938,0.5326618238609032,0.09369957271651971
assay_14,0.5315356916745806,0.5175966747965162,0.5243700278503486,0.5293088328868498,0.5146912650530342,0.5251026873282503,0.5237675299315966,0.006536880931560121
assay_11,0.5578490924402875,0.5678557791959854,0.5280229606553594,0.4971015352959797,0.4700157879752569,0.4821079007125519,0.5171588427125701,0.040490089099037174
assay_27,0.4633542611937674,0.4729961653572765,0.5170570767010352,0.5042853867226627,0.5334431001097668,0.5453715951401137,0.506084597537437,0.0326689892416913
assay_5,0.531566371124945,0.4810836477503144,0.5231534732339885,0.5355289205629341,0.4877820349084717,0.4357894049252073,0.4991506420843102,0.038524284354727156
assay_1,0.5067526582459145,0.5253453946485962,0.4648635477582845,0.5480999457159526,0.4676847225750604,0.4786365312681102,0.4985638000353198,0.033836256904596004
