fold,mean_test_roc_auc,n_assays
0,0.6423624992173238,29
1,0.6705074274494889,29
2,0.6652380046439236,29
3,0.7019389774345648,29
4,0.6878113843531426,29
5,0.7070550814849831,29
MEAN,0.6791522290972378,29
STD,0.02447287683624468,29
