fold,mean_test_roc_auc,n_assays
0,0.5781215900870049,29
1,0.5762581356830395,29
2,0.5683208002449451,29
3,0.5878127157993951,29
4,0.5823439917862887,29
5,0.5812483384978906,29
MEAN,0.5790175953497606,29
STD,0.006576232060488818,29
