fold,mean_test_roc_auc,n_assays
0,0.608206371847556,29
1,0.6426300766942711,29
2,0.6232622739203867,29
3,0.6676543220584865,29
4,0.6455509212178536,29
5,0.6363756964320573,29
MEAN,0.6372799436951019,29
STD,0.020308723063023004,29
