fold,mean_test_roc_auc,n_assays
0,0.5770400153025285,29
1,0.5806103548541571,29
2,0.5741047762233706,29
3,0.5800810277503442,29
4,0.5848966653346429,29
5,0.5817698323063133,29
MEAN,0.5797504452952261,29
STD,0.003758463617438271,29
