,fold0,fold1,fold2,fold3,fold4,fold5,mean,std
assay_23,0.7189554049457432,0.6741399721245415,0.7226116496810009,0.7251003298983096,0.7253474558240898,0.7434910836762688,0.7182743160249924,0.023236289719658514
assay_19,0.686623638160281,0.8534738557569609,0.7319111595255386,0.6394085234009904,0.6972025325518836,0.6055344518307482,0.7023590268710672,0.08639557415059898
assay_20,0.6337468673191493,0.7109142188165176,0.6950760838357738,0.7320900978308386,0.7216728429184667,0.7190612512673705,0.7020935603313526,0.03569135061178445
assay_26,0.7997210942947377,0.6406632074909047,0.6414391017565619,0.687186565447435,0.682213952389391,0.6710021057847144,0.6870376711939574,0.058664817481673896
assay_2,0.6509908311150547,0.6730626208537855,0.6995014245014245,0.6858957756393653,0.7326410750078319,0.612120747386448,0.6757020790839849,0.04140668497945902
assay_22,0.6407060530091607,0.658013668430335,0.6623934821465686,0.6694139078025875,0.6593836305441243,0.6898124871981082,0.6632872048551475,0.01609274575811596
assay_25,0.6388355615938464,0.6534335301485059,0.6288380497114472,0.6582602111264532,0.6791692635468742,0.7118435599778883,0.6617300293508358,0.030008010121469586
assay_24,0.639835390946502,0.6386301831396048,0.552868995851452,0.5848613241775635,0.5885281715185693,0.8192239858906526,0.6373246752540574,0.09524875959353454
assay_17,0.5510873694207028,0.6249052829119751,0.5557474655196478,0.6727064872459825,0.7002863630770606,0.5997715855212757,0.6174174256161075,0.06081849249124742
assay_7,0.6482432479164505,0.6326395265789205,0.5560898433447452,0.5989975062427113,0.7098484787739316,0.5522116931051639,0.6163383826603206,0.060117569134385596
assay_28,0.6064488162838658,0.6416191108474352,0.5731890390087607,0.6162504255005918,0.6255955454109037,0.5983419421879385,0.6102408132065825,0.023602021723637394
assay_18,0.6325866073846067,0.5890338854741992,0.6118766375135085,0.60197762123527,0.593888847654156,0.6249135694599507,0.6090461947869484,0.0172866332089182
assay_0,0.604457106679329,0.5391896169673948,0.5765213867065719,0.6326481093252582,0.5943523933290015,0.6319145015662428,0.5965138524289664,0.035531463046796455
assay_8,0.5859575571509728,0.5815381396172357,0.595244305338202,0.6043399070065737,0.5719661382993526,0.5727926026433489,0.5853064416759476,0.012729633537086575
assay_13,0.6115800156729745,0.6402069620460424,0.5057956104252401,0.5400238948626045,0.6352465301740664,0.5440917107583774,0.5794907873232176,0.0566861263980361
assay_10,0.5528630786903588,0.5254667137161142,0.5528039655817434,0.6441634951576471,0.5341561661472176,0.6136355776878653,0.5705148328301578,0.04745538751562172
assay_9,0.5610120900336489,0.5621270456056222,0.5600064260069681,0.5769946944189369,0.5336342592592592,0.5983255764189803,0.5653500152905693,0.021385202547230298
assay_16,0.5256265711616768,0.5510792491924568,0.5792268118355075,0.5347242345213948,0.5344018335593002,0.5404640050190579,0.544253784214899,0.019073061498754706
assay_3,0.4446302207360119,0.6009187482055699,0.5224024627556065,0.4481523378582202,0.6129387557492133,0.6326670585929846,0.5436182639829344,0.08411997369328122
assay_15,0.5831275720164608,0.5287953610175833,0.5183289758049703,0.5530770669659558,0.514025990501336,0.5442757457250211,0.5402717853385545,0.02576300580357489
assay_21,0.5557755870296228,0.5610476315559058,0.5658810325476993,0.5460488618013231,0.4752152838460561,0.5082087020071516,0.5353628497979598,0.03599170909614716
assay_12,0.4947043453581852,0.5578636422257821,0.5237287106838073,0.5729182731828235,0.5241162104148007,0.5372221442823295,0.5350922210246213,0.027693562773683053
assay_6,0.6228016166208835,0.5276485556947177,0.4384863123993558,0.525244149622259,0.6422558922558923,0.4454732510288066,0.5336516296036524,0.08565184494695496
assay_27,0.5089910660898316,0.4961887392442948,0.5623825395342077,0.501842800767532,0.5492026492026492,0.5650107779737409,0.5306030954687093,0.03168074291772165
assay_14,0.5324223998452393,0.5130381417519754,0.5249072356215214,0.5358663670702148,0.5215321674414077,0.5418975899072364,0.5282773169395992,0.010482119825064716
assay_1,0.5364401886559883,0.5348055864063397,0.474140856255866,0.5597518700966977,0.5118130239647727,0.5123939729202887,0.5215575830499922,0.029268000504998292
assay_11,0.5401637728681754,0.5105274641357116,0.5287008191992615,0.5000989237100348,0.5126044982788518,0.5098008508861221,0.5169827215130262,0.014643469778462617
assay_4,0.5767195767195767,0.5671268640205318,0.4733574570739321,0.5934191551475503,0.459729570840682,0.3692043895747599,0.5065928355628387,0.08751831723010502
assay_5,0.5048628141440819,0.5148225148225148,0.5013163612197429,0.5720692509808156,0.4823116219667943,0.3983277810438304,0.49561839069629654,0.05652254678486327
