fold,mean_test_roc_auc,n_assays
0,0.5927557400642457,29
1,0.5966524151310165,29
2,0.5736129034960908,29
3,0.597018350622205,29
4,0.597423487739584,29
5,0.5866563690111267,29
MEAN,0.5906865443440448,29
STD,0.009307017645338074,29
