fold,mean_test_roc_auc,n_assays
0,0.6031105554528259,29
1,0.6322470381725623,29
2,0.6152166073325771,29
3,0.6537856180662279,29
4,0.6400149757922184,29
5,0.642907677984218,29
MEAN,0.6312137454667717,29
STD,0.018817356652147087,29
