fold,mean_test_roc_auc,n_assays
0,0.5748807404556657,29
1,0.5776111195395363,29
2,0.5742839398916205,29
3,0.5877150458129511,29
4,0.5797032921453807,29
5,0.5701490425570289,29
MEAN,0.5773905300670304,29
STD,0.006006367309830039,29
