fold,mean_test_roc_auc,n_assays
0,0.5923659633987804,29
1,0.5985007675150631,29
2,0.5869795413727978,29
3,0.5988808655088107,29
4,0.5974577307229756,29
5,0.5827915326736279,29
MEAN,0.592829400198676,29
STD,0.006714171422892439,29
